idx,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
1058,190,96,67,22,0.000117,8.4e-05
1093,164,102,69,25,0.00013,9.3e-05
1177,229,96,69,22,0.000118,8.4e-05
1194,181,86,72,21,0.000114,8.2e-05
1135,217,75,73,18,0.000102,7.3e-05
1075,239,95,74,20,0.000111,7.9e-05
1160,234,90,76,20,0.00011,7.9e-05
1138,208,89,76,26,0.000133,9.5e-05
1129,229,83,77,18,0.000103,7.3e-05
1097,233,75,80,16,9.4e-05,6.7e-05
1181,237,67,80,21,0.000113,8e-05
1143,227,79,80,20,0.00011,7.9e-05
1146,237,109,82,23,0.000122,8.7e-05
1105,232,152,82,29,0.000148,0.000106
1122,242,57,82,15,9.1e-05,6.5e-05
1199,288,86,84,21,0.000116,8.3e-05
1117,296,98,84,22,0.00012,8.5e-05
1077,287,92,85,22,0.000119,8.5e-05
1180,281,128,85,29,0.000146,0.000104
1079,243,182,86,37,0.000179,0.000128
1119,291,134,86,25,0.000132,9.4e-05
1083,303,113,87,24,0.000127,9.1e-05
1164,324,130,87,24,0.000128,9.1e-05
1106,261,127,88,40,0.000185,0.000132
1096,306,132,89,25,0.000131,9.3e-05
1053,271,102,89,21,0.000117,8.3e-05
1051,306,174,90,34,0.000164,0.000117
1059,240,99,91,24,0.000127,9.1e-05
1184,313,61,91,18,0.000106,7.5e-05
1145,222,66,92,18,0.000102,7.3e-05
1196,219,79,93,31,0.000151,0.000108
1085,337,133,93,30,0.000153,0.000109
1109,276,84,94,21,0.000117,8.3e-05
1092,300,63,94,15,9.3e-05,6.6e-05
1120,317,158,96,31,0.000153,0.000109
1099,305,73,96,19,0.000108,7.7e-05
1126,279,89,97,19,0.000111,7.9e-05
1116,348,137,98,27,0.000139,9.9e-05
1128,308,59,99,12,8.1e-05,5.8e-05
1052,349,105,101,22,0.00012,8.6e-05
1067,319,146,102,31,0.000154,0.00011
1055,406,168,102,39,0.000188,0.000134
1081,438,119,102,32,0.000157,0.000112
1176,373,111,105,23,0.000125,8.9e-05
1124,355,146,105,33,0.000165,0.000118
1186,350,91,106,25,0.000131,9.4e-05
1118,394,203,106,36,0.000177,0.000126
1179,358,106,107,28,0.000149,0.000106
1102,428,112,109,21,0.000116,8.3e-05
1189,406,136,110,35,0.000172,0.000123
1098,372,114,112,29,0.000146,0.000104
1147,357,93,113,22,0.000121,8.6e-05
1163,348,90,113,17,0.000101,7.2e-05
1192,328,125,116,28,0.000146,0.000104
1087,411,120,116,28,0.000144,0.000103
1190,308,100,119,20,0.000118,8.4e-05
1132,339,108,119,32,0.00016,0.000114
1134,456,176,119,39,0.000189,0.000135
1155,409,194,120,40,0.000191,0.000136
1191,374,100,120,24,0.000129,9.2e-05
1110,436,96,121,25,0.000133,9.5e-05
1104,372,136,124,29,0.000155,0.00011
1094,403,140,124,38,0.000188,0.000134
1182,451,143,125,28,0.000144,0.000103
1137,405,115,126,22,0.000122,8.7e-05
1193,409,99,128,20,0.000114,8.1e-05
1198,468,189,132,40,0.000195,0.000139
1144,515,194,137,37,0.000186,0.000132
1142,549,56,138,15,0.000101,7.2e-05
1100,500,124,142,25,0.000139,9.9e-05
1141,525,184,144,36,0.000182,0.00013
1108,503,98,148,24,0.00014,0.0001
1078,517,182,150,39,0.000196,0.00014
1149,510,139,152,33,0.000173,0.000124
1057,577,133,155,24,0.000138,9.8e-05
1112,679,112,155,22,0.000127,9.1e-05
1084,535,100,157,25,0.00014,0.0001
1170,540,119,157,26,0.000146,0.000104
1127,530,105,159,28,0.000155,0.00011
1054,600,92,159,19,0.000116,8.2e-05
1107,675,137,167,26,0.000143,0.000102
1091,596,100,168,19,0.000115,8.2e-05
1169,664,73,179,17,0.00011,7.9e-05
1150,663,182,193,36,0.000194,0.000138
1140,701,125,197,24,0.00014,0.0001
1101,778,157,199,31,0.000169,0.00012
1080,801,174,202,39,0.000199,0.000142
1173,842,98,214,21,0.000127,9.1e-05
1152,845,72,214,17,0.000112,8e-05
1151,940,149,224,31,0.000163,0.000116
1175,952,206,231,39,0.000203,0.000145
1148,656,210,243,40,0.000203,0.000145
1086,982,93,245,16,0.000113,8.1e-05
1133,945,123,249,29,0.000162,0.000115
1123,999,195,264,39,0.000208,0.000148
1195,1126,170,279,39,0.00021,0.00015
1161,1144,117,327,25,0.000155,0.000111
1121,1397,166,369,32,0.000191,0.000136
1076,1620,174,386,27,0.000169,0.00012
1056,1610,169,392,29,0.000178,0.000127
