idx,input_len,output_len,input_tokens,output_tokens,energy_kwh,carbon_kg
3135,219,92,70,20,0.000108,0.000077
3148,220,41,77,8,0.000064,0.000046
3208,220,44,70,9,0.000070,0.000050
3313,220,60,73,16,0.000092,0.000066
3182,221,72,74,18,0.000102,0.000073
3249,221,56,75,12,0.000081,0.000058
3340,222,57,76,11,0.000076,0.000054
3134,223,41,74,10,0.000072,0.000052
3191,223,25,72,5,0.000053,0.000038
3229,223,82,77,20,0.000109,0.000077
3386,224,47,76,13,0.000081,0.000058
3122,225,51,75,13,0.000083,0.000059
3127,225,56,74,13,0.000083,0.000059
3314,225,31,73,8,0.000065,0.000046
3378,226,87,70,20,0.000108,0.000077
3206,228,42,75,9,0.000069,0.000049
3172,229,68,75,17,0.000098,0.000070
3326,229,83,81,20,0.000107,0.000076
3375,230,43,68,9,0.000070,0.000050
3414,230,52,76,12,0.000078,0.000056
3353,231,90,78,18,0.000103,0.000074
3272,233,67,72,16,0.000098,0.000070
3144,234,42,76,9,0.000067,0.000048
3147,237,78,78,21,0.000108,0.000077
3241,237,90,79,21,0.000109,0.000078
3405,237,40,71,9,0.000068,0.000049
3316,238,81,78,17,0.000100,0.000072
3415,240,46,83,9,0.000071,0.000050
3137,241,34,79,8,0.000064,0.000046
3221,241,88,78,20,0.000106,0.000076
3398,241,34,79,8,0.000065,0.000046
3139,242,40,78,9,0.000070,0.000050
3336,242,47,76,11,0.000076,0.000055
3198,243,93,73,21,0.000106,0.000076
3225,244,34,79,8,0.000067,0.000048
3345,244,33,77,7,0.000060,0.000043
3399,244,60,81,15,0.000092,0.000066
3211,245,88,75,17,0.000100,0.000071
3235,246,41,77,10,0.000073,0.000052
3396,246,55,81,14,0.000089,0.000064
3131,247,40,72,9,0.000067,0.000048
3216,247,59,84,15,0.000092,0.000066
3174,248,49,80,11,0.000075,0.000054
3372,248,64,76,16,0.000096,0.000068
3286,250,45,79,10,0.000073,0.000052
3324,250,56,79,13,0.000084,0.000060
3380,250,67,78,14,0.000089,0.000064
3370,253,43,82,9,0.000068,0.000049
3388,253,79,82,20,0.000106,0.000076
3394,253,93,81,20,0.000109,0.000078
3303,254,40,75,9,0.000068,0.000049
3342,254,40,83,9,0.000071,0.000050
3344,254,70,80,15,0.000092,0.000066
3098,255,46,78,9,0.000066,0.000047
3397,255,65,78,12,0.000082,0.000058
3155,256,74,86,20,0.000108,0.000077
3161,256,65,82,14,0.000088,0.000063
3088,257,46,79,9,0.000066,0.000047
3312,259,40,76,9,0.000068,0.000049
3352,261,63,80,13,0.000084,0.000060
3412,261,61,82,13,0.000084,0.000060
3141,266,40,79,9,0.000067,0.000048
3276,267,40,79,9,0.000068,0.000048
3255,269,55,75,13,0.000084,0.000060
3278,270,40,92,9,0.000071,0.000051
3281,270,58,86,12,0.000079,0.000056
3189,271,45,87,11,0.000078,0.000056
3095,273,79,87,20,0.000104,0.000074
3154,273,46,85,9,0.000067,0.000048
3076,275,62,81,15,0.000121,0.000086
3102,275,76,82,20,0.000106,0.000076
3132,275,76,82,20,0.000107,0.000076
3160,275,60,79,13,0.000079,0.000056
3410,275,30,86,6,0.000057,0.000041
3111,276,43,85,9,0.000069,0.000049
3232,276,76,82,18,0.000101,0.000072
3341,276,60,86,14,0.000090,0.000064
3108,277,59,88,13,0.000083,0.000059
3297,277,46,83,9,0.000068,0.000048
3126,278,80,85,20,0.000105,0.000075
3192,278,78,88,20,0.000109,0.000077
3260,278,80,85,20,0.000106,0.000076
3265,278,80,85,20,0.000109,0.000078
3200,279,83,85,20,0.000109,0.000077
3218,279,73,95,16,0.000095,0.000068
3361,279,28,89,8,0.000065,0.000047
3280,280,56,88,13,0.000087,0.000062
3269,281,58,85,12,0.000076,0.000054
3084,283,88,86,20,0.000105,0.000075
3219,285,31,84,8,0.000065,0.000046
3283,286,51,87,12,0.000079,0.000056
3315,286,79,95,20,0.000109,0.000078
3150,287,54,88,12,0.000081,0.000058
3282,290,84,96,20,0.000109,0.000078
3359,290,90,88,20,0.000107,0.000076
3366,290,46,82,9,0.000070,0.000050
3251,291,84,87,21,0.000109,0.000078
3214,294,79,91,14,0.000090,0.000064
3401,294,73,101,20,0.000109,0.000078
3354,295,55,81,13,0.000081,0.000058
3384,295,59,84,13,0.000085,0.000060
3261,297,64,97,18,0.000106,0.000076
3170,298,69,85,15,0.000092,0.000066
3207,300,90,93,20,0.000109,0.000078
3349,300,56,87,13,0.000085,0.000060
3418,300,56,87,13,0.000084,0.000060
3228,302,70,94,20,0.000109,0.000078
3356,304,82,95,20,0.000109,0.000078
3112,305,40,92,9,0.000067,0.000048
3226,305,72,103,20,0.000109,0.000078
3305,309,52,96,10,0.000073,0.000052
3382,310,54,106,14,0.000088,0.000063
3124,311,77,89,21,0.000107,0.000076
3153,312,53,93,13,0.000084,0.000060
3294,312,46,95,10,0.000074,0.000053
3250,314,39,95,9,0.000069,0.000000
3296,314,69,98,14,0.000090,0.000064
3167,315,58,92,14,0.000090,0.000064
3267,315,57,98,16,0.000098,0.000070
3175,316,90,95,20,0.000109,0.000078
3395,316,43,93,12,0.000079,0.000057
3360,317,88,101,20,0.000109,0.000078
3290,318,57,95,14,0.000088,0.000063
3177,320,67,95,20,0.000109,0.000077
3244,320,56,94,13,0.000085,0.000060
3300,320,62,95,15,0.000093,0.000066
3379,322,65,97,19,0.000104,0.000074
3318,326,72,87,16,0.000096,0.000068
3333,330,71,92,14,0.000085,0.000061
3329,334,101,102,20,0.000109,0.000078
3383,334,42,101,9,0.000068,0.000049
3248,337,42,90,9,0.000070,0.000050
3106,338,66,101,17,0.000098,0.000070
3332,339,92,100,20,0.000108,0.000077
3184,343,63,108,15,0.000090,0.000064
3322,343,42,104,9,0.000071,0.000051
3346,343,52,108,14,0.000090,0.000064
3138,346,42,107,9,0.000068,0.000048
3176,346,42,107,9,0.000070,0.000050
3364,346,42,107,9,0.000071,0.000051
3087,349,52,103,12,0.000076,0.000054
3201,349,87,95,18,0.000104,0.000074
3194,351,57,101,12,0.000082,0.000058
3266,355,83,111,20,0.000110,0.000078
3338,357,83,101,21,0.000109,0.000078
3308,361,59,107,14,0.000090,0.000064
3133,363,68,119,18,0.000106,0.000075
3159,363,60,105,13,0.000084,0.000060
3199,364,56,113,15,0.000093,0.000066
3417,366,31,113,9,0.000071,0.000051
3224,370,40,101,9,0.000070,0.000050
3367,370,74,105,18,0.000104,0.000074
3119,371,37,106,8,0.000065,0.000046
3381,374,77,105,18,0.000104,0.000074
3205,375,62,112,15,0.000087,0.000062
3181,376,49,106,12,0.000082,0.000058
3136,378,102,104,21,0.000107,0.000077
3083,379,69,114,16,0.000093,0.000066
3291,379,91,108,21,0.000109,0.000078
3157,382,63,106,14,0.000089,0.000063
3299,384,86,109,20,0.000109,0.000078
3143,385,42,114,9,0.000071,0.000050
3264,394,88,116,20,0.000110,0.000078
3373,394,49,116,10,0.000074,0.000053
3195,396,81,110,20,0.000109,0.000078
3113,407,56,110,13,0.000083,0.000059
3295,407,32,120,9,0.000071,0.000051
3328,408,71,120,16,0.000096,0.000069
3116,411,52,120,13,0.000081,0.000058
3115,426,61,124,13,0.000084,0.000060
3091,427,99,120,20,0.000107,0.000076
3109,428,48,125,11,0.000076,0.000054
3246,431,93,118,20,0.000110,0.000078
3202,436,73,134,20,0.000116,0.000083
3392,436,79,125,20,0.000110,0.000078
3183,437,76,131,20,0.000113,0.000081
3187,451,83,129,20,0.000113,0.000081
3320,455,46,134,10,0.000080,0.000057
3081,458,53,121,15,0.000087,0.000062
3213,465,70,125,14,0.000088,0.000000
3262,465,54,129,13,0.000092,0.000065
3085,469,79,119,16,0.000090,0.000064
3152,471,89,128,20,0.000109,0.000078
3279,473,74,131,20,0.000113,0.000081
3393,478,67,136,16,0.000103,0.000073
3343,483,97,159,21,0.000114,0.000082
3180,486,35,134,7,0.000069,0.000049
3165,488,63,129,12,0.000082,0.000059
3193,490,89,139,20,0.000113,0.000081
3337,492,96,129,21,0.000114,0.000081
3284,498,72,150,20,0.000114,0.000081
3390,498,56,138,11,0.000080,0.000057
3110,508,51,143,10,0.000079,0.000056
3334,513,79,144,20,0.000114,0.000081
3209,521,39,135,8,0.000072,0.000051
3237,521,59,146,14,0.000098,0.000070
3287,522,110,138,20,0.000114,0.000081
3311,522,52,142,12,0.000086,0.000062
3298,524,64,150,21,0.000114,0.000081
3351,524,56,146,14,0.000095,0.000067
3217,533,72,144,15,0.000098,0.000070
3273,533,93,130,18,0.000110,0.000079
3212,535,101,137,18,0.000111,0.000079
3331,535,76,147,20,0.000114,0.000081
3243,548,94,166,20,0.000116,0.000083
3245,548,93,141,20,0.000114,0.000081
3302,548,107,146,21,0.000114,0.000081
3409,561,76,155,19,0.000117,0.000083
3090,585,85,149,20,0.000110,0.000078
3411,588,78,162,18,0.000106,0.000076
3196,606,80,159,20,0.000114,0.000081
3129,608,85,164,20,0.000112,0.000080
3389,609,88,162,21,0.000116,0.000083
3190,610,73,174,20,0.000113,0.000081
3204,648,47,172,11,0.000083,0.000059
3288,653,49,175,13,0.000091,0.000065
3151,694,81,185,20,0.000113,0.000081
3330,722,86,162,16,0.000103,0.000073
3169,732,84,194,20,0.000118,0.000084
3285,738,78,183,21,0.000114,0.000081
3178,751,79,209,20,0.000116,0.000083
3140,831,92,226,21,0.000118,0.000084
3142,856,91,214,20,0.000115,0.000082
